Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Brand
4,4,256,3,1,1,1
3,4,256,2,3,1,0
2,32,1000,1,4,5,0
2,8,256,1,2,1,0
3,8,1000,5,4,5,1
4,16,256,3,5,1,1
5,32,256,3,1,1,0
5,16,512,5,5,2,3
4,32,256,4,3,1,4
2,8,256,1,2,1,4
4,4,1000,3,3,5,4
3,4,256,3,2,1,1
2,4,1000,4,4,5,1
5,4,256,4,4,1,3
1,4,256,4,5,1,4
5,16,1000,2,5,5,4
3,32,512,5,4,2,0
4,8,1000,1,4,5,1
4,16,1000,1,2,5,4
5,32,1000,2,3,5,3
4,4,512,1,1,2,3
4,32,256,2,4,1,4
1,32,1000,5,3,5,1
3,4,1000,5,1,5,3
1,4,512,2,1,2,0
4,4,1000,2,2,5,3
3,8,256,2,3,1,2
4,4,512,2,3,2,2
1,8,256,1,4,1,1
1,4,256,5,3,1,4
